home,score,away,year
France ,0–1, Senegal,2002
Uruguay ,1–2, Denmark,2002
Denmark ,1–1, Senegal,2002
France ,0–0, Uruguay,2002
Denmark ,2–0, France,2002
Senegal ,3–3, Uruguay,2002
Paraguay ,2–2, South Africa,2002
Spain ,3–1, Slovenia,2002
Spain ,3–1, Paraguay,2002
South Africa ,1–0, Slovenia,2002
South Africa ,2–3, Spain,2002
Slovenia ,1–3, Paraguay,2002
Brazil ,2–1, Turkey,2002
China ,0–2, Costa Rica,2002
Brazil ,4–0, China,2002
Costa Rica ,1–1, Turkey,2002
Costa Rica ,2–5, Brazil,2002
Turkey ,3–0, China,2002
South Korea ,2–0, Poland,2002
United States ,3–2, Portugal,2002
South Korea ,1–1, United States,2002
Portugal ,4–0, Poland,2002
Portugal ,0–1, South Korea,2002
Poland ,3–1, United States,2002
Republic of Ireland ,1–1, Cameroon,2002
Germany ,8–0, Saudi Arabia,2002
Germany ,1–1, Republic of Ireland,2002
Cameroon ,1–0, Saudi Arabia,2002
Cameroon ,0–2, Germany,2002
Saudi Arabia ,0–3, Republic of Ireland,2002
Argentina ,1–0, Nigeria,2002
England ,1–1, Sweden,2002
Sweden ,2–1, Nigeria,2002
Argentina ,0–1, England,2002
Sweden ,1–1, Argentina,2002
Nigeria ,0–0, England,2002
Croatia ,0–1, Mexico,2002
Italy ,2–0, Ecuador,2002
Italy ,1–2, Croatia,2002
Mexico ,2–1, Ecuador,2002
Mexico ,1–1, Italy,2002
Ecuador ,1–0, Croatia,2002
Japan ,2–2, Belgium,2002
Russia ,2–0, Tunisia,2002
Japan ,1–0, Russia,2002
Tunisia ,1–1, Belgium,2002
Tunisia ,0–2, Japan,2002
Belgium ,3–2, Russia,2002
Germany ,1–0, Paraguay,2002
Denmark ,0–3, England,2002
Sweden ,1–2 (a.e.t.), Senegal,2002
Spain ,1–1 (a.e.t.), Republic of Ireland,2002
Mexico ,0–2, United States,2002
Brazil ,2–0, Belgium,2002
Japan ,0–1, Turkey,2002
South Korea ,2–1 (a.e.t.), Italy,2002
England ,1–2, Brazil,2002
Germany ,1–0, United States,2002
Spain ,0–0 (a.e.t.), South Korea,2002
Senegal ,0–1 (a.e.t.), Turkey,2002
Germany ,1–0, South Korea,2002
Brazil ,1–0, Turkey,2002
South Korea ,2–3, Turkey,2002
Germany ,0–2, Brazil,2002
Germany ,4–2, Costa Rica,2006
Poland ,0–2, Ecuador,2006
Germany ,1–0, Poland,2006
Ecuador ,3–0, Costa Rica,2006
Ecuador ,0–3, Germany,2006
Costa Rica ,1–2, Poland,2006
England ,1–0, Paraguay,2006
Trinidad and Tobago ,0–0, Sweden,2006
England ,2–0, Trinidad and Tobago,2006
Sweden ,1–0, Paraguay,2006
Sweden ,2–2, England,2006
Paraguay ,2–0, Trinidad and Tobago,2006
Argentina ,2–1, Ivory Coast,2006
Serbia and Montenegro ,0–1, Netherlands,2006
Argentina ,6–0, Serbia and Montenegro,2006
Netherlands ,2–1, Ivory Coast,2006
Netherlands ,0–0, Argentina,2006
Ivory Coast ,3–2, Serbia and Montenegro,2006
Mexico ,3–1, Iran,2006
Angola ,0–1, Portugal,2006
Mexico ,0–0, Angola,2006
Portugal ,2–0, Iran,2006
Portugal ,2–1, Mexico,2006
Iran ,1–1, Angola,2006
United States ,0–3, Czech Republic,2006
Italy ,2–0, Ghana,2006
Czech Republic ,0–2, Ghana,2006
Italy ,1–1, United States,2006
Czech Republic ,0–2, Italy,2006
Ghana ,2–1, United States,2006
Australia ,3–1, Japan,2006
Brazil ,1–0, Croatia,2006
Japan ,0–0, Croatia,2006
Brazil ,2–0, Australia,2006
Japan ,1–4, Brazil,2006
Croatia ,2–2, Australia,2006
South Korea ,2–1, Togo,2006
France ,0–0, Switzerland,2006
France ,1–1, South Korea,2006
Togo ,0–2, Switzerland,2006
Togo ,0–2, France,2006
Switzerland ,2–0, South Korea,2006
Spain ,4–0, Ukraine,2006
Tunisia ,2–2, Saudi Arabia,2006
Saudi Arabia ,0–4, Ukraine,2006
Spain ,3–1, Tunisia,2006
Saudi Arabia ,0–1, Spain,2006
Ukraine ,1–0, Tunisia,2006
Germany ,2–0, Sweden,2006
Argentina ,2–1 (a.e.t.), Mexico,2006
England ,1–0, Ecuador,2006
Portugal ,1–0, Netherlands,2006
Italy ,1–0, Australia,2006
Switzerland ,0–0 (a.e.t.), Ukraine,2006
Brazil ,3–0, Ghana,2006
Spain ,1–3, France,2006
Germany ,1–1 (a.e.t.), Argentina,2006
Italy ,3–0, Ukraine,2006
England ,0–0 (a.e.t.), Portugal,2006
Brazil ,0–1, France,2006
Germany ,0–2 (a.e.t.), Italy,2006
Portugal ,0–1, France,2006
Germany ,3–1, Portugal,2006
Italy ,1–1 (a.e.t.), France,2006
Brazil ,3–1, Croatia,2014
Mexico ,1–0, Cameroon,2014
Brazil ,0–0, Mexico,2014
Cameroon ,0–4, Croatia,2014
Cameroon ,1–4, Brazil,2014
Croatia ,1–3, Mexico,2014
Spain ,1–5, Netherlands,2014
